"index";"seconds";"minutes";"dateTime";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
282;282,302;4,7050333333;20220426 14:15:53;5;0,4;2;5;0,4;2
283;283,299;4,72165;20220426 14:15:54;5;0,4;2;5;0,4;2
284;284,302;4,7383666667;20220426 14:15:55;5;0,4;2;5;0,4;2
285;285,299;4,7549833333;20220426 14:15:56;5;0,4;2;5;0,4;2
286;286,298;4,7716333333;20220426 14:15:57;5;0,4;2;5;0,4;2
287;287,303;4,7883833333;20220426 14:15:58;5;0,4;2;5;0,4;2
288;288,3;4,805;20220426 14:15:59;5;0,4;2;5;0,4;2
289;289,302;4,8217;20220426 14:16:00;5;0,4;2;5;0,4;2
290;290,299;4,8383166667;20220426 14:16:01;5;0,4;2;5;0,43;2,15
291;291,301;4,8550166667;20220426 14:16:02;5;0,4;2;5;0,4;2
292;292,298;4,8716333333;20220426 14:16:03;5;0,4;2;5;0,4;2
293;293,303;4,8883833333;20220426 14:16:04;5;0,41;2,05;5;0,4;2
294;294,303;4,90505;20220426 14:16:05;5;0,4;2;5;0,4;2
295;295,303;4,9217166667;20220426 14:16:06;5;0,4;2;5;0,4;2
296;296,298;4,9383;20220426 14:16:07;5;0,41;2,05;5;0,4;2
297;297,303;4,95505;20220426 14:16:08;5;0,4;2;5;0,4;2
298;298,301;4,9716833333;20220426 14:16:09;5;0,4;2;5;0,4;2
299;299,298;4,9883;20220426 14:16:10;5;0,4;2;5;0,4;2
300;300,303;5,00505;20220426 14:16:11;5;0,4;2;5;0,4;2
301;301,303;5,0217166667;20220426 14:16:12;5;0,41;2,05;5;0,4;2
302;302,299;5,0383166667;20220426 14:16:13;5;0,4;2;5;0,4;2
303;303,302;5,0550333333;20220426 14:16:14;5;0,4;2;5;0,4;2
304;304,302;5,0717;20220426 14:16:15;5;0,4;2;5;0,4;2
305;305,3;5,0883333333;20220426 14:16:16;5;0,4;2;5;0,4;2
306;306,303;5,10505;20220426 14:16:17;5;0,4;2;5;0,4;2
307;307,303;5,1217166667;20220426 14:16:18;5;0,4;2;5;0,4;2
308;308,303;5,1383833333;20220426 14:16:19;5;0,4;2;5;0,4;2
309;309,303;5,15505;20220426 14:16:20;5;0,4;2;5;0,4;2
310;310,302;5,1717;20220426 14:16:21;5;0,4;2;5;0,4;2
311;311,302;5,1883666667;20220426 14:16:22;5;0,4;2;5;0,4;2
312;312,299;5,2049833333;20220426 14:16:23;5;0,4;2;5;0,4;2
313;313,303;5,2217166667;20220426 14:16:24;5;0,4;2;5;0,4;2
314;314,303;5,2383833333;20220426 14:16:25;5;0,4;2;5;0,4;2
315;315,302;5,2550333333;20220426 14:16:26;5;0,4;2;5;0,4;2
316;316,299;5,27165;20220426 14:16:27;5;0,4;2;5;0,4;2
317;317,299;5,2883166667;20220426 14:16:28;5;0,4;2;5;0,4;2
318;318,303;5,30505;20220426 14:16:29;5;0,4;2;5;0,4;2
319;319,299;5,32165;20220426 14:16:30;5;0,4;2;5;0,4;2
320;320,303;5,3383833333;20220426 14:16:31;5;0,4;2;5;0,4;2
321;321,299;5,3549833333;20220426 14:16:32;5;0,4;2;5;0,4;2
322;322,303;5,3717166667;20220426 14:16:33;5;0,4;2;5;0,4;2
323;323,303;5,3883833333;20220426 14:16:34;5;0,4;2;5;0,4;2
324;324,302;5,4050333333;20220426 14:16:35;5;0,4;2;5;0,4;2
325;325,299;5,42165;20220426 14:16:36;5;0,4;2;5;0,4;2
326;326,299;5,4383166667;20220426 14:16:37;5;0,4;2;5;0,4;2
327;327,303;5,45505;20220426 14:16:38;5;0,4;2;5;0,4;2
328;328,303;5,4717166667;20220426 14:16:39;5;0,4;2;5;0,4;2
329;329,299;5,4883166667;20220426 14:16:40;5;0,4;2;5;0,4;2
330;330,303;5,50505;20220426 14:16:41;5;0,4;2;5;0,4;2
331;331,302;5,5217;20220426 14:16:42;5;0,4;2;5;0,4;2
332;332,3;5,5383333333;20220426 14:16:43;5;0,4;2;5;0,4;2
333;333,303;5,55505;20220426 14:16:44;5;0,41;2,05;5;0,4;2
334;334,303;5,5717166667;20220426 14:16:45;5;0,4;2;5;0,4;2
335;335,301;5,58835;20220426 14:16:46;5;0,4;2;5;0,4;2
336;336,303;5,60505;20220426 14:16:47;5;0,4;2;5;0,4;2
337;337,303;5,6217166667;20220426 14:16:48;5;0,4;2;5;0,4;2
338;338,302;5,6383666667;20220426 14:16:49;5;0,4;2;5;0,4;2
339;339,299;5,6549833333;20220426 14:16:50;5;0,4;2;5;0,4;2
340;340,298;5,6716333333;20220426 14:16:51;5;0,4;2;5;0,4;2
341;341,3;5,6883333333;20220426 14:16:52;5;0,4;2;5;0,4;2
342;342,303;5,70505;20220426 14:16:53;5;0,4;2;5;0,4;2
343;343,303;5,7217166667;20220426 14:16:54;5;0,4;2;5;0,4;2
344;344,301;5,73835;20220426 14:16:55;5;0,4;2;5;0,4;2
345;345,3;5,755;20220426 14:16:56;5;0,4;2;5;0,4;2
346;346,299;5,77165;20220426 14:16:57;5;0,4;2;5;0,4;2
347;347,303;5,7883833333;20220426 14:16:58;5;0,4;2;5;0,4;2
348;348,3;5,805;20220426 14:16:59;5;0,4;2;5;0,4;2
349;349,299;5,82165;20220426 14:17:00;5;0,4;2;5;0,4;2
350;350,3;5,8383333333;20220426 14:17:01;5;0,4;2;5;0,46;2,3
351;351,303;5,85505;20220426 14:17:02;5;0,4;2;5;0,4;2
